Status Account,Months,Credit History,Purpose,Credit Amount,Savings,Employment,Installment Rate,Personal Status,Guarators,Residence,Property,Age,Other Installment,Housing,Credit Cards,Job,Dependents,Phone,Foreign Worker,Credit Rating
2,9,critical account,education,1501,1,5,2,female (divorce),none,3,car or other,34,none,own,2,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
4,6,critical account,radio/television,1382,1,3,1,female (divorce),none,1,car or other,28,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,12,existing credits paid back duly till now,furniture/equipment,951,2,2,4,female (divorce),none,4,car or other,27,bank,rent,4,skilled-employee,1,none,yes,Bad
2,24,existing credits paid back duly till now,car (used),2760,5,5,4,male (single),none,4,no property,36,bank,for free,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,18,delay in paying off in the past,furniture/equipment,4297,1,5,4,male (divorce),none,3,no property,40,none,own,1,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
4,9,critical account,education,936,3,5,4,male (single),none,2,car or other,52,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
1,12,existing credits paid back duly till now,car (new),1168,1,3,4,male (married),none,3,real estate,27,none,own,1,unskilled - resident,1,none,yes,Good
4,27,delay in paying off in the past,business,5117,1,4,3,male (single),none,4,car or other,26,none,own,2,skilled-employee,1,none,yes,Good
1,12,existing credits paid back duly till now,retraining,902,1,4,4,male (married),none,4,life insurance,21,none,rent,1,skilled-employee,1,none,yes,Bad
4,12,critical account,car (new),1495,1,5,4,male (single),none,1,real estate,38,none,own,2,unskilled - resident,2,none,yes,Good
1,30,critical account,car (used),10623,1,5,3,male (single),none,4,no property,38,none,for free,3,highly qualified employee,2,"yes, registered under the customers name",yes,Good
4,12,critical account,furniture/equipment,1935,1,5,4,male (single),none,4,real estate,43,none,own,3,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,12,critical account,domestic appliances,1424,1,4,4,male (single),none,3,life insurance,26,none,own,1,skilled-employee,1,none,yes,Good
1,24,existing credits paid back duly till now,business,6568,1,3,2,male (married),none,2,car or other,21,stores,own,1,unskilled - resident,1,none,yes,Good
4,12,existing credits paid back duly till now,car (used),1413,4,4,3,male (single),none,2,life insurance,55,none,own,1,skilled-employee,1,none,no,Good
4,9,critical account,radio/television,3074,5,3,1,male (single),none,2,real estate,33,none,own,2,skilled-employee,2,none,yes,Good
4,36,existing credits paid back duly till now,radio/television,3835,5,5,2,female (divorce),none,4,real estate,45,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,Good
1,27,no credits taken/ all credits paid back duly,business,5293,1,1,2,male (single),none,4,life insurance,50,stores,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Bad
3,30,delay in paying off in the past,business,1908,1,5,4,male (single),none,4,real estate,66,none,own,1,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
4,36,critical account,radio/television,3342,5,5,4,male (single),none,2,car or other,51,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,6,critical account,retraining,932,5,4,1,female (divorce),none,3,life insurance,39,none,own,2,unskilled - resident,1,none,yes,Good
1,18,no credits taken/ all credits paid back duly,business,3104,1,4,3,male (single),none,1,life insurance,31,bank,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
3,36,existing credits paid back duly till now,radio/television,3913,1,3,2,male (single),none,2,real estate,23,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
1,24,existing credits paid back duly till now,furniture/equipment,3021,1,3,2,male (divorce),none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,Good
4,10,existing credits paid back duly till now,car (new),1364,1,3,2,female (divorce),none,4,car or other,64,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,12,existing credits paid back duly till now,radio/television,625,1,2,4,male (married),guarator,1,real estate,26,bank,own,1,unskilled - resident,1,none,yes,Good
1,12,existing credits paid back duly till now,education,1200,5,3,4,female (divorce),none,4,life insurance,23,bank,rent,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,12,existing credits paid back duly till now,radio/television,707,1,3,4,male (single),none,2,real estate,30,bank,own,2,skilled-employee,1,none,yes,Good
4,24,delay in paying off in the past,business,2978,5,3,4,male (single),none,4,real estate,32,none,own,2,skilled-employee,2,"yes, registered under the customers name",yes,Good
4,15,existing credits paid back duly till now,car (used),4657,1,3,3,male (single),none,2,car or other,30,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,36,no credits taken/ all credits paid back duly,repairs,2613,1,3,4,male (single),none,2,car or other,27,none,own,2,skilled-employee,1,none,yes,Good
2,48,existing credits paid back duly till now,radio/television,10961,4,4,1,male (single),co-applicant,2,no property,27,bank,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Bad
1,12,existing credits paid back duly till now,furniture/equipment,7865,1,5,4,male (single),none,4,no property,53,none,for free,1,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
4,9,existing credits paid back duly till now,radio/television,1478,1,4,4,male (single),none,2,car or other,22,none,own,1,skilled-employee,1,none,yes,Bad
1,24,existing credits paid back duly till now,furniture/equipment,3149,1,2,4,male (single),none,1,no property,22,bank,for free,1,skilled-employee,1,none,yes,Good
3,36,existing credits paid back duly till now,radio/television,4210,1,3,4,male (single),none,2,car or other,26,none,own,1,skilled-employee,1,none,yes,Bad
4,9,existing credits paid back duly till now,car (new),2507,3,5,2,male (single),none,4,no property,51,none,for free,1,unskilled - resident,1,none,yes,Good
4,12,existing credits paid back duly till now,radio/television,2141,2,4,3,male (single),none,1,no property,35,none,own,1,skilled-employee,1,none,yes,Good
2,18,existing credits paid back duly till now,radio/television,866,1,3,4,male (married),guarator,2,real estate,25,none,own,1,unskilled - resident,1,none,yes,Good
4,4,critical account,radio/television,1544,1,4,2,male (single),none,1,real estate,42,none,own,3,unskilled - resident,2,none,yes,Good
1,24,existing credits paid back duly till now,radio/television,1823,1,1,4,male (single),none,2,car or other,30,stores,own,1,highly qualified employee,2,none,yes,Bad
2,6,existing credits paid back duly till now,car (new),14555,5,1,1,male (single),none,2,life insurance,23,none,own,1,unskilled - non-resident,1,"yes, registered under the customers name",yes,Bad
2,21,existing credits paid back duly till now,business,2767,2,5,4,male (divorce),none,2,car or other,61,bank,rent,2,unskilled - resident,1,none,yes,Bad
4,12,critical account,radio/television,1291,1,3,4,female (divorce),none,2,life insurance,35,none,own,2,skilled-employee,1,none,yes,Good
1,30,existing credits paid back duly till now,radio/television,2522,1,5,1,male (single),guarator,3,life insurance,39,none,own,1,skilled-employee,2,none,yes,Good
1,24,existing credits paid back duly till now,car (new),915,5,5,4,female (divorce),none,2,car or other,29,bank,own,1,skilled-employee,1,none,yes,Bad
4,6,existing credits paid back duly till now,radio/television,1595,1,4,3,male (single),none,2,life insurance,51,none,own,1,skilled-employee,2,none,yes,Good
1,48,no credits taken/ all credits paid back duly,car (used),4605,1,5,3,male (single),none,4,no property,24,none,for free,2,skilled-employee,2,none,yes,Bad
4,12,critical account,business,1185,1,3,3,female (divorce),none,2,real estate,27,none,own,2,skilled-employee,1,none,yes,Good
4,12,all credits at this bank paid back duly,retraining,3447,3,3,4,female (divorce),none,3,real estate,35,none,own,1,unskilled - resident,2,none,yes,Good
4,24,existing credits paid back duly till now,business,1258,1,4,4,male (single),none,1,real estate,25,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,12,critical account,radio/television,717,1,5,4,male (single),none,4,real estate,52,none,own,3,skilled-employee,1,none,yes,Good
4,6,no credits taken/ all credits paid back duly,car (new),1204,2,3,4,male (single),none,1,no property,35,bank,rent,1,skilled-employee,1,none,no,Good
3,24,existing credits paid back duly till now,furniture/equipment,1925,1,3,2,male (single),none,2,real estate,26,none,own,1,skilled-employee,1,none,yes,Good
4,18,existing credits paid back duly till now,radio/television,433,1,1,3,female (divorce),co-applicant,4,real estate,22,none,rent,1,skilled-employee,1,none,yes,Bad
1,6,critical account,car (new),666,4,4,3,female (divorce),none,4,real estate,39,none,own,2,unskilled - resident,1,"yes, registered under the customers name",yes,Good
3,12,existing credits paid back duly till now,furniture/equipment,2251,1,3,1,female (divorce),none,2,car or other,46,none,own,1,unskilled - resident,1,none,yes,Good
2,30,existing credits paid back duly till now,car (new),2150,1,3,4,female (divorce),guarator,2,no property,24,bank,own,1,skilled-employee,1,none,yes,Bad
4,24,delay in paying off in the past,furniture/equipment,4151,2,3,2,male (single),none,3,life insurance,35,none,own,2,skilled-employee,1,none,yes,Good
2,9,existing credits paid back duly till now,furniture/equipment,2030,5,4,2,male (single),none,1,car or other,24,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,60,delay in paying off in the past,radio/television,7418,5,3,1,male (single),none,1,real estate,27,none,own,1,unskilled - resident,1,none,yes,Good
4,24,critical account,radio/television,2684,1,3,4,male (single),none,2,real estate,35,none,own,2,unskilled - resident,1,none,yes,Good
1,12,all credits at this bank paid back duly,radio/television,2149,1,3,4,male (divorce),none,1,no property,29,none,for free,1,skilled-employee,1,none,yes,Bad
4,15,existing credits paid back duly till now,car (used),3812,2,2,1,female (divorce),none,4,car or other,23,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,11,critical account,radio/television,1154,2,1,4,female (divorce),none,4,real estate,57,none,own,3,unskilled - resident,1,none,yes,Good
1,12,existing credits paid back duly till now,furniture/equipment,1657,1,3,2,male (single),none,2,real estate,27,none,own,1,skilled-employee,1,none,yes,Good
1,24,existing credits paid back duly till now,radio/television,1603,1,5,4,female (divorce),none,4,car or other,55,none,own,1,skilled-employee,1,none,yes,Good
1,18,critical account,car (new),5302,1,5,2,male (single),none,4,no property,36,none,for free,3,highly qualified employee,1,"yes, registered under the customers name",yes,Good
4,12,critical account,education,2748,1,5,2,female (divorce),none,4,no property,57,bank,for free,3,unskilled - resident,1,none,yes,Good
4,10,critical account,car (new),1231,1,5,3,male (single),none,4,real estate,32,none,own,2,unskilled - resident,2,none,no,Good
2,15,existing credits paid back duly till now,radio/television,802,1,5,4,male (single),none,3,car or other,37,none,own,1,skilled-employee,2,none,yes,Bad
4,36,critical account,business,6304,5,5,4,male (single),none,4,real estate,36,none,own,2,skilled-employee,1,none,yes,Good
4,24,existing credits paid back duly till now,radio/television,1533,1,2,4,female (divorce),none,3,car or other,38,stores,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
1,14,existing credits paid back duly till now,car (new),8978,1,5,1,male (divorce),none,4,life insurance,45,none,own,1,highly qualified employee,1,"yes, registered under the customers name",no,Bad
4,24,existing credits paid back duly till now,radio/television,999,5,5,4,male (single),none,2,car or other,25,none,own,2,skilled-employee,1,none,yes,Good
4,18,existing credits paid back duly till now,car (new),2662,5,4,4,male (single),none,3,life insurance,32,none,own,1,skilled-employee,1,none,no,Good
4,12,critical account,furniture/equipment,1402,3,4,3,female (divorce),none,4,car or other,37,none,rent,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,48,all credits at this bank paid back duly,car (new),12169,5,1,4,male (single),co-applicant,4,no property,36,none,for free,1,highly qualified employee,1,"yes, registered under the customers name",yes,Good
2,48,existing credits paid back duly till now,radio/television,3060,1,4,4,male (single),none,4,real estate,28,none,own,2,skilled-employee,1,none,yes,Bad
1,30,existing credits paid back duly till now,repairs,11998,1,2,1,male (divorce),none,1,no property,34,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,Bad
4,9,existing credits paid back duly till now,radio/television,2697,1,3,1,male (single),none,2,real estate,32,none,own,1,skilled-employee,2,none,yes,Good
4,18,critical account,radio/television,2404,1,3,2,female (divorce),none,2,car or other,26,none,own,2,skilled-employee,1,none,yes,Good
1,12,existing credits paid back duly till now,furniture/equipment,1262,5,5,2,male (divorce),none,4,life insurance,49,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,Good
4,6,existing credits paid back duly till now,furniture/equipment,4611,1,2,1,female (divorce),none,4,life insurance,32,none,own,1,skilled-employee,1,none,yes,Bad
4,24,existing credits paid back duly till now,radio/television,1901,2,3,4,male (single),none,4,car or other,29,none,rent,1,highly qualified employee,1,"yes, registered under the customers name",yes,Good
4,15,critical account,car (used),3368,4,5,3,male (single),none,4,no property,23,none,rent,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,12,existing credits paid back duly till now,furniture/equipment,1574,1,3,4,male (single),none,2,real estate,50,none,own,1,skilled-employee,1,none,yes,Good
3,18,all credits at this bank paid back duly,radio/television,1445,5,4,4,male (single),none,4,car or other,49,bank,own,1,unskilled - resident,1,none,yes,Good
4,15,critical account,furniture/equipment,1520,5,5,4,male (single),none,4,life insurance,63,none,own,1,skilled-employee,1,none,yes,Good
2,24,critical account,car (new),3878,2,2,4,male (divorce),none,2,car or other,37,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
1,47,existing credits paid back duly till now,car (new),10722,1,2,1,female (divorce),none,1,real estate,35,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,Good
1,48,existing credits paid back duly till now,car (used),4788,1,4,4,male (single),none,3,life insurance,26,none,own,1,skilled-employee,2,none,yes,Good
2,48,delay in paying off in the past,car (used)0,7582,2,1,2,male (single),none,4,no property,31,none,for free,1,highly qualified employee,1,"yes, registered under the customers name",yes,Good
2,12,existing credits paid back duly till now,radio/television,1092,1,3,4,female (divorce),guarator,4,real estate,49,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
1,24,delay in paying off in the past,radio/television,1024,1,2,4,male (married),none,4,real estate,48,stores,own,1,skilled-employee,1,none,yes,Bad
4,12,existing credits paid back duly till now,business,1076,1,3,2,male (married),none,2,real estate,26,none,own,1,skilled-employee,1,"yes, registered under the customers name",no,Good
2,36,existing credits paid back duly till now,car (used),9398,1,2,1,male (married),none,4,car or other,28,none,rent,1,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
1,24,critical account,car (used),6419,1,5,2,female (divorce),none,4,no property,44,none,for free,2,highly qualified employee,2,"yes, registered under the customers name",yes,Good
3,42,critical account,car (used),4796,1,5,4,male (single),none,4,no property,56,none,for free,1,skilled-employee,1,none,yes,Good
4,48,critical account,business,7629,5,5,4,male (divorce),none,2,car or other,46,bank,own,2,highly qualified employee,2,none,yes,Good
2,48,existing credits paid back duly till now,furniture/equipment,9960,1,2,1,female (divorce),none,2,car or other,26,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Bad
4,12,existing credits paid back duly till now,car (used),4675,5,2,1,female (divorce),none,4,car or other,20,none,rent,1,skilled-employee,1,none,yes,Good
4,10,existing credits paid back duly till now,car (new),1287,5,5,4,male (single),co-applicant,2,life insurance,45,none,own,1,unskilled - resident,1,none,no,Good
4,18,existing credits paid back duly till now,furniture/equipment,2515,1,3,3,male (single),none,4,real estate,43,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,21,critical account,furniture/equipment,2745,4,4,3,male (single),none,2,car or other,32,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,6,existing credits paid back duly till now,car (new),672,1,1,1,female (divorce),none,4,real estate,54,none,own,1,unskilled - non-resident,1,"yes, registered under the customers name",yes,Good
2,36,no credits taken/ all credits paid back duly,radio/television,3804,1,3,4,female (divorce),none,1,car or other,42,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Bad
3,24,critical account,car (new),1344,5,4,4,male (single),none,2,real estate,37,bank,own,2,unskilled - resident,2,none,yes,Bad
1,10,critical account,car (new),1038,1,4,4,male (single),co-applicant,3,life insurance,49,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,48,critical account,car (new),10127,3,3,2,male (single),none,2,no property,44,bank,for free,1,skilled-employee,1,none,yes,Bad
4,6,existing credits paid back duly till now,furniture/equipment,1543,4,3,4,male (divorce),none,2,real estate,33,none,own,1,skilled-employee,1,none,yes,Good
4,30,existing credits paid back duly till now,car (used),4811,5,4,2,female (divorce),none,4,life insurance,24,stores,rent,1,unskilled - resident,1,none,yes,Good
1,12,existing credits paid back duly till now,radio/television,727,2,2,4,male (married),none,3,no property,33,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,Bad
2,8,existing credits paid back duly till now,furniture/equipment,1237,1,3,3,female (divorce),none,4,real estate,24,none,own,1,skilled-employee,1,none,yes,Bad
2,9,existing credits paid back duly till now,car (new),276,1,3,4,male (married),none,4,real estate,22,none,rent,1,unskilled - resident,1,none,yes,Good
2,48,existing credits paid back duly till now,car (used)0,5381,5,1,3,male (single),none,4,no property,40,bank,for free,1,unskilled - non-resident,1,"yes, registered under the customers name",yes,Good
4,24,existing credits paid back duly till now,furniture/equipment,5511,2,3,4,male (single),none,1,car or other,25,stores,own,1,skilled-employee,1,none,yes,Good
3,24,existing credits paid back duly till now,furniture/equipment,3749,1,2,2,female (divorce),none,4,car or other,26,none,own,1,skilled-employee,1,none,yes,Good
2,12,existing credits paid back duly till now,car (new),685,1,4,2,male (married),none,3,car or other,25,bank,own,1,unskilled - resident,1,none,yes,Bad
3,4,existing credits paid back duly till now,car (new),1494,5,2,1,male (single),none,2,real estate,29,none,own,1,unskilled - resident,2,none,no,Good
1,36,all credits at this bank paid back duly,furniture/equipment,2746,1,5,4,male (single),none,4,car or other,31,bank,own,1,skilled-employee,1,none,yes,Bad
1,12,existing credits paid back duly till now,furniture/equipment,708,1,3,2,male (single),guarator,3,life insurance,38,none,own,1,unskilled - resident,2,none,yes,Good
2,24,existing credits paid back duly till now,furniture/equipment,4351,5,3,1,female (divorce),none,4,life insurance,48,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,Good
4,12,critical account,education,701,1,3,4,male (single),none,2,car or other,32,none,own,2,skilled-employee,1,none,yes,Good
1,15,delay in paying off in the past,furniture/equipment,3643,1,5,1,female (divorce),none,4,life insurance,27,none,own,2,unskilled - resident,1,none,yes,Good
2,30,critical account,car (new),4249,1,1,4,male (married),none,2,car or other,28,none,own,2,highly qualified employee,1,none,yes,Bad
1,24,existing credits paid back duly till now,radio/television,1938,1,2,4,male (divorce),none,3,life insurance,32,none,own,1,skilled-employee,1,none,yes,Bad
1,24,existing credits paid back duly till now,car (used),2910,1,4,2,male (single),none,1,no property,34,none,for free,1,highly qualified employee,1,"yes, registered under the customers name",yes,Good
1,18,existing credits paid back duly till now,furniture/equipment,2659,4,3,4,male (single),none,2,car or other,28,none,own,1,skilled-employee,1,none,yes,Good
4,18,critical account,car (new),1028,1,3,4,female (divorce),none,3,real estate,36,none,own,2,skilled-employee,1,none,yes,Good
1,8,critical account,car (new),3398,1,4,1,male (single),none,4,real estate,39,none,own,2,unskilled - resident,1,none,no,Good
4,12,critical account,furniture/equipment,5801,5,5,2,male (single),none,4,life insurance,49,none,rent,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,24,existing credits paid back duly till now,car (new),1525,4,4,4,female (divorce),none,3,car or other,34,none,own,1,skilled-employee,2,"yes, registered under the customers name",yes,Good
3,36,existing credits paid back duly till now,radio/television,4473,1,5,4,male (single),none,2,car or other,31,none,own,1,skilled-employee,1,none,yes,Good
2,6,existing credits paid back duly till now,radio/television,1068,1,5,4,male (single),none,4,car or other,28,none,own,1,skilled-employee,2,none,yes,Good
1,24,critical account,car (used),6615,1,1,2,male (single),none,4,no property,75,none,for free,2,highly qualified employee,1,"yes, registered under the customers name",yes,Good
4,18,critical account,education,1864,2,3,4,female (divorce),none,2,real estate,30,none,own,2,skilled-employee,1,none,yes,Bad
2,60,existing credits paid back duly till now,car (new),7408,2,2,4,female (divorce),none,2,life insurance,24,none,own,1,highly qualified employee,1,none,yes,Bad
4,48,critical account,car (used),11590,2,3,2,female (divorce),none,4,car or other,24,bank,rent,2,unskilled - resident,1,none,yes,Bad
1,24,no credits taken/ all credits paid back duly,furniture/equipment,4110,1,5,3,male (single),none,4,no property,23,bank,rent,2,skilled-employee,2,none,yes,Bad
1,6,critical account,furniture/equipment,3384,1,3,1,male (divorce),none,4,real estate,44,none,rent,1,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
2,13,existing credits paid back duly till now,radio/television,2101,1,2,2,female (divorce),guarator,4,life insurance,23,none,own,1,unskilled - resident,1,none,yes,Good
1,15,existing credits paid back duly till now,domestic appliances,1275,5,3,4,female (divorce),none,2,car or other,24,none,rent,1,skilled-employee,1,none,yes,Bad
1,24,existing credits paid back duly till now,furniture/equipment,4169,1,3,4,male (single),none,4,life insurance,28,none,own,1,skilled-employee,1,none,yes,Good
2,10,existing credits paid back duly till now,furniture/equipment,1521,1,3,4,male (divorce),none,2,car or other,31,none,own,1,unskilled - resident,1,none,yes,Good
2,24,critical account,education,5743,1,2,2,female (divorce),none,4,no property,24,none,for free,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
1,21,existing credits paid back duly till now,furniture/equipment,3599,1,4,1,female (divorce),none,4,car or other,26,none,rent,1,unskilled - resident,1,none,yes,Good
2,18,existing credits paid back duly till now,radio/television,3213,3,2,1,male (married),none,3,real estate,25,none,rent,1,skilled-employee,1,none,yes,Good
2,18,existing credits paid back duly till now,business,4439,1,5,1,male (single),co-applicant,1,real estate,33,bank,own,1,highly qualified employee,1,"yes, registered under the customers name",yes,Good
3,10,existing credits paid back duly till now,car (new),3949,1,2,1,male (single),guarator,1,life insurance,37,none,own,1,unskilled - resident,2,none,yes,Good
4,15,critical account,radio/television,1459,1,3,4,female (divorce),none,2,car or other,43,none,own,1,unskilled - resident,1,none,yes,Good
2,13,critical account,radio/television,882,1,2,4,male (single),guarator,4,real estate,23,none,own,2,skilled-employee,1,none,yes,Good
2,24,existing credits paid back duly till now,radio/television,3758,3,1,1,female (divorce),none,4,no property,23,none,rent,1,unskilled - non-resident,1,none,yes,Good
4,6,delay in paying off in the past,business,1743,2,3,1,male (single),none,2,real estate,34,none,own,2,unskilled - resident,1,none,yes,Good
2,9,critical account,education,1136,4,5,4,male (single),none,3,no property,32,none,for free,2,skilled-employee,2,none,yes,Bad
4,9,existing credits paid back duly till now,domestic appliances,1236,1,2,1,female (divorce),none,4,real estate,23,none,rent,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,9,existing credits paid back duly till now,furniture/equipment,959,1,3,1,female (divorce),none,2,car or other,29,none,own,1,skilled-employee,1,none,no,Bad
4,18,critical account,car (used),3229,5,1,2,male (single),none,4,no property,38,none,own,1,highly qualified employee,1,"yes, registered under the customers name",yes,Good
1,12,no credits taken/ all credits paid back duly,radio/television,6199,1,3,4,male (single),none,2,life insurance,28,none,rent,2,skilled-employee,1,"yes, registered under the customers name",yes,Bad
4,10,existing credits paid back duly till now,education,727,3,5,4,male (single),none,4,no property,46,none,for free,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,24,existing credits paid back duly till now,car (new),1246,1,2,4,male (single),none,2,real estate,23,stores,own,1,unskilled - resident,1,none,yes,Bad
4,12,critical account,radio/television,2331,5,5,1,male (single),co-applicant,4,real estate,49,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,36,delay in paying off in the past,radio/television,4463,1,3,4,male (single),none,2,car or other,26,none,own,2,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
4,12,existing credits paid back duly till now,radio/television,776,1,3,4,male (married),none,2,real estate,28,none,own,1,skilled-employee,1,none,yes,Good
1,30,existing credits paid back duly till now,furniture/equipment,2406,1,4,4,female (divorce),none,4,real estate,23,none,rent,1,skilled-employee,1,none,yes,Bad
2,18,existing credits paid back duly till now,education,1239,5,3,4,male (single),none,4,no property,61,none,for free,1,skilled-employee,1,none,yes,Good
3,12,existing credits paid back duly till now,radio/television,3399,5,5,2,male (single),none,3,car or other,37,none,own,1,highly qualified employee,1,none,yes,Good
3,12,delay in paying off in the past,car (new),2247,1,3,2,female (divorce),none,2,car or other,36,stores,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,6,existing credits paid back duly till now,furniture/equipment,1766,1,3,1,male (married),none,2,life insurance,21,none,rent,1,skilled-employee,1,none,yes,Good
1,18,existing credits paid back duly till now,furniture/equipment,2473,1,1,4,male (single),none,1,car or other,25,none,own,1,unskilled - non-resident,1,none,yes,Bad
4,12,existing credits paid back duly till now,business,1542,1,4,2,male (single),none,4,car or other,36,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,18,critical account,car (used),3850,1,4,3,male (single),none,1,car or other,27,none,own,2,skilled-employee,1,none,yes,Good
1,18,existing credits paid back duly till now,furniture/equipment,3650,1,2,1,female (divorce),none,4,car or other,22,none,rent,1,skilled-employee,1,none,yes,Good
1,36,existing credits paid back duly till now,furniture/equipment,3446,1,5,4,male (single),none,2,car or other,42,none,own,1,skilled-employee,2,none,yes,Bad
2,18,existing credits paid back duly till now,furniture/equipment,3001,1,4,2,female (divorce),none,4,real estate,40,none,rent,1,skilled-employee,1,none,yes,Good
4,36,existing credits paid back duly till now,car (new),3079,5,3,4,male (single),none,4,real estate,36,none,own,1,skilled-employee,1,none,yes,Good
4,18,critical account,radio/television,6070,1,5,3,male (single),none,4,car or other,33,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,10,critical account,furniture/equipment,2146,1,2,1,female (divorce),none,3,real estate,23,none,rent,2,skilled-employee,1,none,yes,Good
4,60,critical account,car (new),13756,5,5,2,male (single),none,4,no property,63,bank,for free,1,highly qualified employee,1,"yes, registered under the customers name",yes,Good
2,60,all credits at this bank paid back duly,car (used)0,14782,2,5,3,female (divorce),none,4,no property,60,bank,for free,2,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
1,48,all credits at this bank paid back duly,business,7685,1,4,2,female (divorce),guarator,4,car or other,37,none,rent,1,skilled-employee,1,none,yes,Bad
4,18,delay in paying off in the past,radio/television,2320,1,1,2,male (married),none,3,real estate,34,none,own,2,skilled-employee,1,none,yes,Good
4,7,delay in paying off in the past,radio/television,846,5,5,3,male (single),none,4,no property,36,none,for free,1,skilled-employee,1,none,yes,Good
2,36,existing credits paid back duly till now,car (new),14318,1,5,4,male (single),none,2,no property,57,none,for free,1,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
4,6,critical account,car (new),362,2,3,4,female (divorce),none,4,car or other,52,none,own,2,unskilled - resident,1,none,yes,Good
1,20,existing credits paid back duly till now,furniture/equipment,2212,5,4,4,male (single),none,4,car or other,39,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,18,existing credits paid back duly till now,car (used),12976,1,1,3,female (divorce),none,4,no property,38,none,for free,1,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
4,22,existing credits paid back duly till now,car (new),1283,5,4,4,female (divorce),none,4,life insurance,25,none,rent,1,skilled-employee,1,none,yes,Good
3,12,existing credits paid back duly till now,car (new),1330,1,2,4,male (single),none,1,real estate,26,none,own,1,skilled-employee,1,none,yes,Good
4,30,delay in paying off in the past,business,4272,2,3,2,male (single),none,2,life insurance,26,none,own,2,unskilled - resident,1,none,yes,Good
4,18,critical account,radio/television,2238,1,3,2,female (divorce),none,1,car or other,25,none,own,2,skilled-employee,1,none,yes,Good
4,18,existing credits paid back duly till now,radio/television,1126,5,2,4,female (divorce),none,2,real estate,21,none,rent,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,18,critical account,furniture/equipment,7374,1,1,4,male (single),none,4,life insurance,40,stores,own,2,highly qualified employee,1,"yes, registered under the customers name",yes,Good
2,15,critical account,business,2326,3,3,2,male (single),none,4,car or other,27,bank,own,1,skilled-employee,1,none,yes,Good
4,9,existing credits paid back duly till now,business,1449,1,4,3,female (divorce),none,2,car or other,27,none,own,2,skilled-employee,1,none,yes,Good
4,18,existing credits paid back duly till now,car (new),1820,1,3,2,male (married),none,2,life insurance,30,none,own,1,highly qualified employee,1,"yes, registered under the customers name",yes,Good
2,12,existing credits paid back duly till now,furniture/equipment,983,4,2,1,female (divorce),none,4,real estate,19,none,rent,1,unskilled - resident,1,none,yes,Good
